14/05/15 22:26:43
rome	[<http://dbpedia.org/resource/Napoleon_II>]	[<http://dbpedia.org/resource/Pierre_Napol%C3%A9on_Bonaparte>]
area	[<http://dbpedia.org/resource/Eliane_Plewman>]
murder	[<http://dbpedia.org/resource/Ren%C3%A9_de_Segonzac>]
grandchildren	[<http://dbpedia.org/resource/Duke_Alexander_Petrovich_of_Oldenburg>]
aviator	[<http://dbpedia.org/resource/Roland_Garros_(aviator)>]
european	[<http://dbpedia.org/resource/Duke_Alexander_Petrovich_of_Oldenburg>]	[<http://dbpedia.org/resource/Bernard_Saint-Hillier>]
senegal	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]
8th	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]
guerrehe	[<http://dbpedia.org/resource/Bernard_Saint-Hillier>]
1028	[<http://dbpedia.org/resource/William_the_Conqueror>]
1060s	[<http://dbpedia.org/resource/William_the_Conqueror>]
owed	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]
authority	[<http://dbpedia.org/resource/William_the_Conqueror>]
otway	[<http://dbpedia.org/resource/William_Otway_Boger>]
lise	[<http://dbpedia.org/resource/Lise_de_Baissac>]
child	[<http://dbpedia.org/resource/William_the_Conqueror>]
germany	[<http://dbpedia.org/resource/Violette_Szabo>]
provided	[<http://dbpedia.org/resource/William_the_Conqueror>]
divided	[<http://dbpedia.org/resource/William_the_Conqueror>]
cultureen	[<http://dbpedia.org/resource/Trinidad_Pardo_de_Tavera>]
1035	[<http://dbpedia.org/resource/William_the_Conqueror>]
germans	[<http://dbpedia.org/resource/Violette_Szabo>]	[<http://dbpedia.org/resource/Eliane_Plewman>]	[<http://dbpedia.org/resource/Joseph_Callaghan>]
rpublicaine	[<http://dbpedia.org/resource/Henri-Auguste_Loz%C3%A9>]
liaison	[<http://dbpedia.org/resource/Paddy_O'Sullivan>]
trinidad	[<http://dbpedia.org/resource/Trinidad_Pardo_de_Tavera>]
live	[<http://dbpedia.org/resource/Paddy_O'Sullivan>]
pilot	[<http://dbpedia.org/resource/Roland_Garros_(aviator)>]	[<http://dbpedia.org/resource/Paddy_O'Sullivan>]	[<http://dbpedia.org/resource/Ren%C3%A9_de_Segonzac>]	[<http://dbpedia.org/resource/William_Otway_Boger>]	[<http://dbpedia.org/resource/Thomas_Frederick_Stephenson>]
nassauweilburg	[<http://dbpedia.org/resource/Duke_Alexander_Petrovich_of_Oldenburg>]
departed	[<http://dbpedia.org/resource/Bernard_Saint-Hillier>]
victory	[<http://dbpedia.org/resource/Joseph_Callaghan>]	[<http://dbpedia.org/resource/William_Otway_Boger>]
decorationthe	[<http://dbpedia.org/resource/Victor_L._Kandle>]	[<http://dbpedia.org/resource/Ernest_W._Prussman>]
1047	[<http://dbpedia.org/resource/William_the_Conqueror>]
service	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]	[<http://dbpedia.org/resource/Michel_Hollard>]	[<http://dbpedia.org/resource/Duke_Alexander_Petrovich_of_Oldenburg>]	[<http://dbpedia.org/resource/Jean_Th%C3%A9veney>]
artisten	[<http://dbpedia.org/resource/Ludovic_Millet>]
magazine	[<http://dbpedia.org/resource/Michael_O'Doherty_(publisher)>]
taking	[<http://dbpedia.org/resource/Paddy_O'Sullivan>]
named	[<http://dbpedia.org/resource/Alfred-Am%C3%A9d%C3%A9e_Dodds>]	[<http://dbpedia.org/resource/William_the_Conqueror>]	[<http://dbpedia.org/resource/Napoleon_II>]
considered	[<http://dbpedia.org/resource/William_Otway_Boger>]
albania	[<http://dbpedia.org/resource/Pandi_Ge%C3%A7o>]	[<http://dbpedia.org/resource/Charles_I_of_Naples>]
1066	[<http://dbpedia.org/resource/William_the_Conqueror>]
anjou	[<http://dbpedia.org/resource/Charles_I_of_Naples>]
williame	[<http://dbpedia.org/resource/William_the_Conqueror>]
american	[<http://dbpedia.org/resource/Bellamy_Storer_(1847%E2%80%931922)>]	[<http://dbpedia.org/resource/Marcellus_H._Chiles>]
1062	[<http://dbpedia.org/resource/William_the_Conqueror>]
1060	[<http://dbpedia.org/resource/William_the_Conqueror>]
